,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_sampl__sampling_strategy,param_tfidf__use_idf,param_vect__binary,param_vect__max_df,param_vect__max_features,param_vect__ngram_range,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
21,1.1588853597640991,0.009855389595031738,1.0148725509643555,0.004062652587890625,auto,True,False,0.8,10000,"(1, 1)","{'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': False, 'vect__max_df': 0.8, 'vect__max_features': 10000, 'vect__ngram_range': (1, 1)}",-0.9432703196282235,-1.11614748177674,-1.0297089007024818,0.08643858107425828,3,-0.6261749257363903,-0.6226238753258186,-0.6243994005311044,0.001775525205285844
22,5.6547532081604,0.030109405517578125,2.347002863883972,0.02183401584625244,auto,True,False,0.8,10000,"(1, 2)","{'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': False, 'vect__max_df': 0.8, 'vect__max_features': 10000, 'vect__ngram_range': (1, 2)}",-0.9507447497613972,-1.1066799981057571,-1.0287123739335773,0.07796762417217995,1,-0.6138757212634187,-0.6265594697068287,-0.6202175954851237,0.006341874221705013
23,4.7521140575408936,0.0645301342010498,1.4211856126785278,0.18887245655059814,auto,True,False,0.8,10000,"(2, 2)","{'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': False, 'vect__max_df': 0.8, 'vect__max_features': 10000, 'vect__ngram_range': (2, 2)}",-1.4669229212757868,-1.5261139615964816,-1.4965184414361343,0.02959552016034739,71,-0.9067623660561154,-0.8860050773360901,-0.8963837216961028,0.010378644360012623
24,2.3832857608795166,0.08729004859924316,1.1717529296875,0.09977245330810547,auto,False,True,1.0,,"(1, 1)","{'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': False, 'vect__binary': True, 'vect__max_df': 1.0, 'vect__max_features': None, 'vect__ngram_range': (1, 1)}",-1.0125013526477573,-1.19082837774634,-1.1016648651970486,0.08916351254929133,19,-0.6603312261066847,-0.6501313006847911,-0.6552312633957379,0.005099962710946815
25,6.6748948097229,0.23249173164367676,3.442526936531067,0.16472971439361572,auto,False,True,1.0,,"(1, 2)","{'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': False, 'vect__binary': True, 'vect__max_df': 1.0, 'vect__max_features': None, 'vect__ngram_range': (1, 2)}",-0.9889904878686172,-1.1410972824277092,-1.0650438851481632,0.07605339727954602,13,-0.6416747470034349,-0.6237629319297584,-0.6327188394665966,0.008955907536838226
26,4.651238679885864,0.24853897094726562,2.168163537979126,0.22797727584838867,auto,False,True,1.0,,"(2, 2)","{'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': False, 'vect__binary': True, 'vect__max_df': 1.0, 'vect__max_features': None, 'vect__ngram_range': (2, 2)}",-1.4887898102205095,-1.59269443435951,-1.5407421222900097,0.05195231206950024,73,-0.8581593431649367,-0.9155226124086429,-0.8868409777867898,0.02868163462185308
27,1.2657358646392822,0.1393742561340332,0.981136679649353,0.04049980640411377,auto,False,True,1.0,10000,"(1, 1)","{'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': False, 'vect__binary': True, 'vect__max_df': 1.0, 'vect__max_features': 10000, 'vect__ngram_range': (1, 1)}",-1.0275823289648665,-1.2072578798910798,-1.117420104427973,0.08983777546310667,23,-0.6751750826004839,-0.6619359277776039,-0.6685555051890439,0.006619577411439981
28,6.717414379119873,0.17564606666564941,2.5349230766296387,0.026812076568603516,auto,False,True,1.0,10000,"(1, 2)","{'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': False, 'vect__binary': True, 'vect__max_df': 1.0, 'vect__max_features': 10000, 'vect__ngram_range': (1, 2)}",-1.0086149397364346,-1.1537391997230517,-1.0811770697297431,0.07256212999330858,17,-0.660337929825665,-0.6274682184788533,-0.6439030741522591,0.016434855673405857
29,5.62034547328949,0.4618121385574341,1.5296332836151123,0.06250810623168945,auto,False,True,1.0,10000,"(2, 2)","{'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': False, 'vect__binary': True, 'vect__max_df': 1.0, 'vect__max_features': 10000, 'vect__ngram_range': (2, 2)}",-1.4437904507908557,-1.5136230396865198,-1.4787067452386877,0.034916294447832064,65,-0.8759681642132151,-0.8614737174531782,-0.8687209408331966,0.0072472233800184305
30,2.8469767570495605,0.05367255210876465,1.4912161827087402,0.19251680374145508,auto,False,True,0.8,,"(1, 1)","{'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': False, 'vect__binary': True, 'vect__max_df': 0.8, 'vect__max_features': None, 'vect__ngram_range': (1, 1)}",-1.0125013526477573,-1.19082837774634,-1.1016648651970486,0.08916351254929133,19,-0.6603312261066847,-0.6501313006847911,-0.6552312633957379,0.005099962710946815
