,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_sampl__k_neighbors,param_sampl__sampling_strategy,param_tfidf__use_idf,param_vect__binary,param_vect__max_df,param_vect__max_features,param_vect__ngram_range,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
304,27.98227024078369,0.32366132736206055,1.9794965982437134,0.039844632148742676,7,auto,True,False,1.0,10000,"(1, 2)","{'sampl__k_neighbors': 7, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': False, 'vect__max_df': 1.0, 'vect__max_features': 10000, 'vect__ngram_range': (1, 2)}",-1.0526927669577175,-1.2683592202762408,-1.1605259936169792,0.10783322665926165,53,-0.07636138557314445,-0.07475055804560256,-0.07555597180937351,0.0008054137637709471
305,24.343730449676514,0.30242371559143066,1.367825984954834,0.04187130928039551,7,auto,True,False,1.0,10000,"(2, 2)","{'sampl__k_neighbors': 7, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': False, 'vect__max_df': 1.0, 'vect__max_features': 10000, 'vect__ngram_range': (2, 2)}",-1.4949138320749225,-1.6463067957083553,-1.5706103138916387,0.0756964818167164,271,-0.1770716966438955,-0.11131540670460098,-0.14419355167424824,0.032878144969647256
306,24.23602569103241,0.07266867160797119,1.0835793018341064,0.010907649993896484,7,auto,True,False,0.8,,"(1, 1)","{'sampl__k_neighbors': 7, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': False, 'vect__max_df': 0.8, 'vect__max_features': None, 'vect__ngram_range': (1, 1)}",-1.0950189867386313,-1.3587993064831414,-1.2269091466108866,0.13189015987225505,87,-0.07493593055571007,-0.07101651635943873,-0.0729762234575744,0.0019597070981356712
307,35.15393853187561,0.7297265529632568,2.357015371322632,0.014966964721679688,7,auto,True,False,0.8,,"(1, 2)","{'sampl__k_neighbors': 7, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': False, 'vect__max_df': 0.8, 'vect__max_features': None, 'vect__ngram_range': (1, 2)}",-1.257224690849966,-1.4740662886445386,-1.3656454897472523,0.10842079889728629,147,-0.029868787196235348,-0.03007678546137322,-0.029972786328804284,0.00010399913256893545
308,30.59911596775055,0.1498352289199829,1.5508173704147339,0.10297882556915283,7,auto,True,False,0.8,,"(2, 2)","{'sampl__k_neighbors': 7, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': False, 'vect__max_df': 0.8, 'vect__max_features': None, 'vect__ngram_range': (2, 2)}",-1.9893267583520906,-2.2766966980509777,-2.1330117282015344,0.14368496984944357,349,-0.04027887483219306,-0.03341517506075533,-0.0368470249464742,0.0034318498857188635
309,24.501553654670715,0.16649878025054932,1.041724443435669,0.01533365249633789,7,auto,True,False,0.8,10000,"(1, 1)","{'sampl__k_neighbors': 7, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': False, 'vect__max_df': 0.8, 'vect__max_features': 10000, 'vect__ngram_range': (1, 1)}",-1.0580220152407098,-1.3296254874414541,-1.1938237513410819,0.13580173610037216,63,-0.09690862870202858,-0.09194868308173036,-0.09442865589187947,0.0024799728101491114
310,29.80704939365387,0.09727919101715088,2.1079025268554688,0.02917766571044922,7,auto,True,False,0.8,10000,"(1, 2)","{'sampl__k_neighbors': 7, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': False, 'vect__max_df': 0.8, 'vect__max_features': 10000, 'vect__ngram_range': (1, 2)}",-1.0526927669577175,-1.2683592202762408,-1.1605259936169792,0.10783322665926165,53,-0.07636138557314445,-0.07475055804560256,-0.07555597180937351,0.0008054137637709471
311,24.801188111305237,0.6178184747695923,1.4206459522247314,0.013969182968139648,7,auto,True,False,0.8,10000,"(2, 2)","{'sampl__k_neighbors': 7, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': False, 'vect__max_df': 0.8, 'vect__max_features': 10000, 'vect__ngram_range': (2, 2)}",-1.4949138320749225,-1.6463067957083553,-1.5706103138916387,0.0756964818167164,271,-0.1770716966438955,-0.11131540670460098,-0.14419355167424824,0.032878144969647256
312,24.417466282844543,0.609665036201477,1.1156021356582642,0.007265686988830566,7,auto,False,True,1.0,,"(1, 1)","{'sampl__k_neighbors': 7, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': False, 'vect__binary': True, 'vect__max_df': 1.0, 'vect__max_features': None, 'vect__ngram_range': (1, 1)}",-0.9864899099810763,-1.245191694103902,-1.1158408020424893,0.12935089206141287,37,-0.118236772361802,-0.1122186944996784,-0.11522773343074019,0.0030090389310617957
313,64.2387342453003,0.04398632049560547,2.2609786987304688,0.015065193176269531,7,auto,False,True,1.0,,"(1, 2)","{'sampl__k_neighbors': 7, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': False, 'vect__binary': True, 'vect__max_df': 1.0, 'vect__max_features': None, 'vect__ngram_range': (1, 2)}",-1.1558246838212587,-1.3706862782148284,-1.2632554810180434,0.10743079719678483,105,-0.043501933254319926,-0.0430409706878407,-0.043271451971080316,0.00023048128323961345
