,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_sampl__n_neighbors,param_sampl__sampling_strategy,param_tfidf__use_idf,param_vect__binary,param_vect__max_df,param_vect__max_features,param_vect__ngram_range,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
22,214.56620657444,0.9000850915908813,9.12016248703003,0.4967982769012451,1,auto,True,False,0.8,10000,"(1, 2)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': False, 'vect__max_df': 0.8, 'vect__max_features': 10000, 'vect__ngram_range': (1, 2)}",-1.8973177987138947,-2.292132559556207,-2.0947251791350507,0.19740738042115624,87,-0.2725100450617103,-0.22772596903031958,-0.25011800704601495,0.02239203801569535
23,132.536630153656,18.06421208381653,8.979721426963806,1.4339810609817505,1,auto,True,False,0.8,10000,"(2, 2)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': True, 'vect__binary': False, 'vect__max_df': 0.8, 'vect__max_features': 10000, 'vect__ngram_range': (2, 2)}",-2.2673462197718877,-2.067204163990231,-2.1672751918810595,0.10007102789082833,149,-0.1403529180288711,-0.0802906843949156,-0.11032180121189335,0.030031116816977746
24,187.1942262649536,3.7840511798858643,5.125198721885681,0.9363738298416138,1,auto,False,True,1.0,,"(1, 1)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': False, 'vect__binary': True, 'vect__max_df': 1.0, 'vect__max_features': None, 'vect__ngram_range': (1, 1)}",-2.0331957858260514,-2.2601035546255717,-2.1466496702258113,0.11345388439976013,131,-0.2715857282200779,-0.2173039484426969,-0.24444483833138742,0.02714088988869051
25,571.0533882379532,16.523159623146057,12.188401341438293,0.19515979290008545,1,auto,False,True,1.0,,"(1, 2)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': False, 'vect__binary': True, 'vect__max_df': 1.0, 'vect__max_features': None, 'vect__ngram_range': (1, 2)}",-1.9844698318947926,-2.220476428005245,-2.102473129950019,0.11800329805522625,95,-0.27007564741741735,-0.21372526641756276,-0.24190045691749007,0.028175190499927297
26,753.6601221561432,21.53122615814209,10.165852546691895,0.833662748336792,1,auto,False,True,1.0,,"(2, 2)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': False, 'vect__binary': True, 'vect__max_df': 1.0, 'vect__max_features': None, 'vect__ngram_range': (2, 2)}",-2.197087691611459,-2.788967854193554,-2.4930277729025065,0.29594008129104754,257,-0.20616412075363458,-0.2873957885553039,-0.24677995465446922,0.04061583390083466
27,160.77047657966614,1.7188160419464111,4.344479084014893,0.37056684494018555,1,auto,False,True,1.0,10000,"(1, 1)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': False, 'vect__binary': True, 'vect__max_df': 1.0, 'vect__max_features': 10000, 'vect__ngram_range': (1, 1)}",-2.0382923567816227,-2.171562572393611,-2.104927464587617,0.06663510780599413,97,-0.257996768102621,-0.19290052549752915,-0.2254486468000751,0.03254812130254593
28,182.0139651298523,0.620323657989502,10.53518831729889,0.12614548206329346,1,auto,False,True,1.0,10000,"(1, 2)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': False, 'vect__binary': True, 'vect__max_df': 1.0, 'vect__max_features': 10000, 'vect__ngram_range': (1, 2)}",-1.8871030133112199,-2.1192220298481526,-2.003162521579686,0.11605950826846634,41,-0.25266286526537185,-0.1905583549198032,-0.22161061009258753,0.03105225517278433
29,107.78967201709747,17.53802454471588,7.231759309768677,0.31708598136901855,1,auto,False,True,1.0,10000,"(2, 2)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': False, 'vect__binary': True, 'vect__max_df': 1.0, 'vect__max_features': 10000, 'vect__ngram_range': (2, 2)}",-2.251271866051664,-2.109977417922875,-2.1806246419872695,0.0706472240643945,161,-0.1401851425777845,-0.07820219974689606,-0.10919367116234027,0.03099147141544422
30,169.41479361057281,1.2746049165725708,4.735631108283997,0.2379976511001587,1,auto,False,True,0.8,,"(1, 1)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': False, 'vect__binary': True, 'vect__max_df': 0.8, 'vect__max_features': None, 'vect__ngram_range': (1, 1)}",-2.0331957858260514,-2.2601035546255717,-2.1466496702258113,0.11345388439976013,131,-0.2715857282200779,-0.2173039484426969,-0.24444483833138742,0.02714088988869051
31,587.7487992048264,12.911186814308167,13.159323334693909,0.4680441617965698,1,auto,False,True,0.8,,"(1, 2)","{'sampl__n_neighbors': 1, 'sampl__sampling_strategy': 'auto', 'tfidf__use_idf': False, 'vect__binary': True, 'vect__max_df': 0.8, 'vect__max_features': None, 'vect__ngram_range': (1, 2)}",-1.9844698318947926,-2.220476428005245,-2.102473129950019,0.11800329805522625,95,-0.27007564741741735,-0.21372526641756276,-0.24190045691749007,0.028175190499927297
